author_list,affiliation,organization_type
Gangadhara Rao Kancherla,University 8,University
Hanumantha Rao Nadendla,Company 4,Company
Srikrishna Atluri,University 16,University
Guangyan Huang,Company 17,Company
Jing He 0004,University 27,University
Xun Zhou,University 30,University
Yanchun Zhang,Company 8,Company
Akiko Takahashi,University 17,University
Tetsuo Kinoshita,Company 3,Company
Jens Pfau,Company 28,Company
Liz Sonenberg,University 26,University
Michael Kirley,University 30,University
Samin Karim,Company 29,Company
Bolun Chen,Company 11,Company
Hai-Ying Sun,University 17,University
Ling Chen 0005,Company 6,Company
Alison R. Panisson,University 15,University
Artur Freitas,Company 26,Company
Felipe Meneguzzi,Company 4,Company
Lucas Hilgert,Company 24,Company
Rafael H. Bordini,University 14,University
Renata Vieira,University 28,University
Guillaume Piolle,Company 2,Company
Yves Demazeau,Company 1,Company
David W. Cheung,University 2,University
Maria Lin,Company 27,Company
Dirk G. F. M. Bollen,Company 21,Company
Harry Halpin,University 28,University
Habiba Belleili-Souici,Company 19,Company
Laurent Vercouter,Company 30,Company
Mohamed Raouf Habes,Company 30,Company
Bernhard Pfahringer,University 3,University
Eibe Frank,Company 12,Company
Felipe Bravo-Marquez,Company 4,Company
Dat Anh Le,Company 1,Company
Guandong Xu,Company 20,Company
Nhi N. Y. Vo,University 4,University
Julien Saunier,University 24,University
Laurent Vercouter,University 29,University
Zaher Yamak,University 9,University
Bui Quang Hung,University 19,University
Masanori Otsubo,Company 6,Company
Shogo Nishida,Company 13,Company
Yoshinori Hijikata,University 24,University
Dandan Zhu,University 11,University
Eleftherios Karapetsas,Company 5,Company
Jun Ota 0001,Company 17,Company
Yusuke Fukazawa,Company 27,Company
Andranik Khachatryan,University 14,University
Björn-Oliver Hartmann,Company 12,Company
Bodo Vogt,University 10,University
Klemens Böhm,Company 24,Company
Stephan Schosser,University 1,University
Ayumi Sugiyama,Company 26,Company
Chihiro Kato,Company 25,Company
Keisuke Yoneda,Company 11,Company
Toshiharu Sugawara,University 3,University
Andrea Bernardini,University 5,University
Claudio Carpineto,Company 22,Company
Massimiliano D'Amico,Company 9,Company
Guowei Wang,University 9,University
Jianwei Zhang 0002,Company 16,Company
Jianxiu Bi,Company 6,Company
Lin Li 0001,University 5,University
Sijie Long,University 12,University
Xiaohui Tao,University 26,University
Felipe Aguilera,Company 30,Company
Francisco Bustos,University 2,University
Nigel Shadbolt,Company 19,Company
Sebastián A. Ríos,University 14,University
Tope Omitola,Company 22,Company
Thomas Wagner 0001,University 19,University
Victor R. Lesser,University 8,University
Xiaoqin Zhang 0001,Company 28,Company
Maurice Grinberg,Company 18,Company
Domenico Ursino,Company 1,Company
Giorgio Terracina,University 7,University
Jameson Mbale,University 6,University
Pasquale De Meo,University 9,University
Chengqi Zhang,University 28,University
Jiming Liu 0001,University 25,University
Longbing Cao,Company 4,Company
Juan Manuel Serrano,University 22,University
Sascha Ossowski,Company 21,Company
Il-Yeol Song,University 24,University
Illhoi Yoo,Company 25,Company
Min Song 0001,University 11,University
Tsau Young Lin,Company 18,Company
Xiaohua Hu 0001,University 17,University
Vijay V. Raghavan 0001,Company 19,Company
Yuefeng Li,Company 26,Company
Alessandro Longheu,University 16,University
Michele Malgeri,Company 9,Company
Vincenza Carchiolo,Company 13,Company
Dung N. Lam,University 12,University
K. Suzanne Barber,Company 30,Company
Tibor Bosse,Company 8,Company
Behrouz Homayoun Far,Company 15,Company
Jörg Denzinger,Company 27,Company
Mohsen Afsharchi,University 23,University
Wei Dai,University 18,University
Wei Deng,University 20,University
Zilong Jiang,Company 27,Company
Fu Zhang 0001,University 25,University
Li Yan 0001,Company 4,Company
Yanhui Lv,Company 19,Company
Zong Min Ma 0001,University 24,University
John Yen,Company 28,Company
Richard A. Volz,Company 23,Company
Xiaocong Fan,Company 1,Company
Fei Yan,University 1,University
Ming Zhang 0004,Company 10,Company
Tao Sun,Company 5,Company
Zhi-Hong Deng,Company 30,Company
Maria Soledad Pera,Company 30,Company
Yiu-Kai Ng,University 20,University
Frank P. J. de Lange,Company 8,Company
Tibor Bosse,Company 18,Company
Guandong Xu,University 13,University
Lin Li 0001,University 7,University
Masaru Kitsuregawa,Company 11,Company
Xun Yi,Company 21,Company
Yanchun Zhang,Company 15,Company
Alexandru Suna,Company 25,Company
Amal El Fallah Seghrouchni,University 28,University
Andrea G. B. Tettamanzi,University 12,University
Célia da Costa Pereira,Company 28,Company
Haoran Xie 0001,University 18,University
Wei Huang,Company 7,Company
Xiangming Mu,University 2,University
Xiaohui Tao,Company 23,Company
Matthias Scheutz,University 26,University
Paul W. Schermerhorn,University 29,University
Antônio Fernando Lavareda Jacob Jr.,Company 19,Company
Beatriz Nery Rodrigues Chagas,University 6,University
Fábio Manoel França Lobato,Company 7,Company
Julio A. N. Viana,Company 11,Company
Olaf Reinhold,University 14,University
Rainer Alt,University 9,University
Jan Treur,University 30,University
Mark Hoogendoorn,University 14,University
Peter-Paul van Maanen,Company 11,Company
S. Waqar Jaffry,Company 3,Company
Mihhail Matskin,University 21,University
Peep Küngas,Company 28,Company
Libiao Zhang,University 15,University
Wei Huang,Company 2,Company
Yuefeng Li,Company 28,Company
Zongke Li,Company 12,Company
Henry Hexmoor,University 16,University
Saad Alqithami,University 14,University
Chengqi Zhang,University 28,University
Zili Zhang 0001,University 16,University
Alexander Felfernig,University 8,University
Erich Christian Teppan,Company 11,Company
Yang Wang,Company 29,Company
Ning Zhong 0001,University 18,University
Xiaohui Tao,Company 3,Company
Yuefeng Li,Company 24,Company
Jiming Liu 0001,Company 25,Company
Ning Zhong 0001,University 22,University
Yiyu Yao,Company 1,Company
Yong Shi 0001,Company 21,Company
Geji Fu,Company 11,Company
Jie Bao,University 7,University
Lan Yu,Company 13,Company
Xiaozhong Geng,University 20,University
Chunyan Miao,Company 27,Company
Han Yu 0001,University 23,University
Jianshu Weng,Company 26,Company
Zhiqi Shen 0001,Company 3,Company
Ahmed Meddahi,University 2,University
Aimed Merabet,Company 18,Company
Djamil Aïssani,University 20,University
Mourad Amad,University 7,University
Noureddine Sekhriou,University 13,University
Elias Zavitsanos,University 27,University
George A. Vouros,University 25,University
Georgios Paliouras,University 13,University
Sergios Petridis,University 25,University
Domenico Rosaci,University 21,University
Domenico Ursino,University 3,University
Giovanni Quattrone,Company 8,Company
Salvatore Garruzzo,University 10,University
Chao-Lin Liu,Company 9,Company
Min-Yuh Day,University 2,University
Mitsunori Matsushita,Company 7,Company
Vincent Shin-Mu Tseng,University 29,University
Yasufumi Takama,Company 7,Company
Cen Chen,Company 13,Company
Hoong Chuin Lau,Company 18,Company
Shih-Fen Cheng,Company 28,Company
Scott A. DeLoach,Company 5,Company
Walamitien H. Oyenan,Company 11,Company
Silviu Homoceanu,University 3,University
Wolf-Tilo Balke,Company 4,Company
André Péninou,University 16,University
C. Marie-Françoise Canut,Company 9,Company
Dieudonné Tchuente,Company 11,Company
Florence Sèdes,Company 6,Company
Nadine Baptiste-Jessel,University 12,University
Ganesh Viswanathan,Company 2,Company
Prabhu J,University 2,University
D. Richards,Company 12,Company
W. C. Cho,University 29,University
Bibo Hao,University 19,University
Sha Yuan,University 2,University
Shuotian Bai,University 9,University
Tingshao Zhu,University 26,University
Abdenour Bouzouane,University 12,University
Bruno Bouchard 0001,University 15,University
Patrice Roy,Company 3,Company
Sylvain Giroux,University 7,University
Gauthier Picard,University 19,University
Olivier Boissier,Company 19,Company
Philippe Jaillon,Company 22,Company
Reda Yaich,University 12,University
Hiroaki Ueda,Company 9,Company
Kazuki Mikami,University 25,University
Kenichi Takahashi,University 29,University
Takeshi Naraki,Company 8,Company
Tetsuhiro Miyahara,University 15,University
Yo Nasu,University 5,University
Flavius Frasincar,University 23,University
Stelios Giannikis,Company 11,Company
Tomas Geurts,Company 1,Company
Fei Yang,Company 22,Company
Haihang Jiang,Company 4,Company
Jian Shen,Company 10,Company
Zhenxing Yao,University 28,University
Anna Maria Fanelli,Company 25,Company
Giovanna Castellano,University 5,University
Maria Alessandra Torsello,Company 9,Company
Carlos Montez,Company 30,Company
Luciana Rech,Company 8,Company
Rômulo Silva de Oliveira,University 8,University
Andrzej W. Przybyszewski,Company 27,Company
Konrad Ciecierski,University 17,University
Zbigniew W. Ras,University 11,University
Ling Li,University 11,University
Yan Fang,Company 22,Company
Craig A. Knoblock,Company 7,Company
Shou-De Lin,Company 16,Company
Ghazal Bargshady,Company 15,Company
Prabal Datta Barua,University 21,University
Raj Gururajan,University 2,University
Revathi Venkataraman,Company 16,Company
Srinivas Kondalsamy-Chennakesavan,University 5,University
Xiaohui Tao,University 7,University
Xujuan Zhou,Company 1,Company
Yuefeng Li,University 24,University
Fabien Gandon,University 24,University
Cai-Nicolas Ziegler,University 2,University
Georg Lausen,Company 28,Company
Martin Przyjaciel-Zablocki,Company 5,Company
Sven Gauß,Company 13,Company
Thomas Hornung 0001,University 14,University
Ville Könönen,Company 11,Company
QiuZhen Wang,Company 7,Company
Sen Yang,Company 21,Company
Xinjun Mao,Company 2,Company
Jianhua Chen 0003,University 16,University
Ayan Dutta 0001,University 5,University
Carl A. Nelson,Company 13,Company
Prithviraj Dasgupta,Company 1,Company
Ali A. Ghorbani 0001,University 11,University
Stephen Marsh 0001,University 15,University
Virendra C. Bhavsar,University 17,University
Hiroshi Kawakami,Company 6,Company
Kosuke Naito,University 19,University
Toshihiro Hiraoka,Company 17,Company
Yuichi Hasebe,Company 9,Company
Ali Reza Farid Amin,Company 24,Company
Andre Telfer,University 21,University
Babak Esfandiari,Company 6,Company
El Hachemi Kadri,Company 10,Company
Cara Bailey Fausset,Company 30,Company
Caroline Bell,University 26,University
Clayton J. Hutto,University 8,University
Julie Nguyen,Company 3,Company
Linda Harley,Company 1,Company
Sarah Farmer,Company 18,Company
W. Bradley Fain,University 13,University
Luxin Cai,University 11,University
Naiyue Chen,University 20,University
Yi Jin 0001,Company 3,Company
Yinglong Li,University 9,University
Abhishek Mahalle,University 9,University
Jianming Yong,Company 4,Company
Xiaohui Tao,University 1,University
Ruijing Liu,Company 11,Company
Xiaoting Luo,Company 26,Company
Shigang Zhong,Company 20,Company
Shui Yu 0001,University 2,University
Tao Xiang,Company 15,Company
Xiaoguo Li,University 15,University
Yang Li,Company 5,Company
Haoran Xie 0001,University 24,University
Xiaohui Tao,University 29,University
Xujuan Zhou,University 2,University
Yi Cai 0001,Company 17,Company
Yongrui (Louie) Qin,University 16,University
Dehu Qi,University 14,University
Ron Sun,University 10,University
Chong Shen 0002,University 28,University
Zhixiang Hou,University 14,University
Leen-Kiat Soh,Company 6,Company
Abdel-Illah Mouaddib,Company 23,Company
Maroua Bouzid,Company 21,Company
Mohamad El Falou,Company 29,Company
Thierry Vidal,Company 12,Company
Amit Behal,Company 1,Company
Ana Lelescu,Company 17,Company
Anna Liu,Company 9,Company
Bin He 0001,Company 29,Company
Brad Wade,University 12,University
Larry Proctor,University 9,University
Thomas D. Griffin,Company 23,Company
Trevor Davis 0002,Company 6,Company
W. Scott Spangler,Company 21,Company
Ying Chen 0001,University 15,University
Haofen Wang,University 18,University
Linyun Fu,University 9,University
Wei Jin,Company 11,Company
Yong Yu 0001,University 12,University
Djilali Dahmani,Company 20,Company
Ghalem Belalem,University 27,University
Sidi Ahmed Rahal,University 28,University
Mikkel Holm Sørensen,University 7,University
Laurence Tianruo Yang,University 12,University
Wenyuan Kuang,Company 28,Company
Yaoxue Zhang,Company 13,Company
Yuezhi Zhou,University 19,University
Jiwei Qin,Company 24,Company
Liejun Wang,University 1,University
Xiaofeng Han,University 29,University
Honglei Zhang,University 9,University
Hua Chai,University 5,University
Wenbing Zhao 0001,Company 25,Company
Ken Barker 0001,Company 30,Company
Sergio Camorlinga,Company 21,Company
Ali A. Ghorbani 0001,Company 28,Company
Jonathan Carter,Company 14,Company
Masao Kobayashi,Company 25,Company
Satoshi Ando,Company 30,Company
Takayuki Ito 0001,University 12,University
Bin-Hui Chou,University 14,University
Einoshin Suzuki,Company 23,Company
Djamila Boukredera,Company 10,Company
Ramdane Maamri,University 7,University
Samir Aknine,University 13,University
Yujie An,Company 29,Company
Yuwei Yan,University 2,University
Leen-Kiat Soh,Company 25,Company
Xin Li,Company 1,Company
Elisabeth Crawford,University 9,University
Manuela M. Veloso,Company 22,Company
Damminda Alahakoon,Company 9,Company
Prasanna Lokuge,Company 30,Company
Hirotaka Osawa,Company 25,Company
Michita Imai,Company 16,Company
Ren Ohmura,Company 1,Company
Yuji Matsuda,Company 20,Company
Amy Unruh,Company 15,Company
James Bailey 0001,University 12,University
Kotagiri Ramamohanarao,Company 20,Company
Rafael Bomfim,Company 26,Company
Vasco Furtado,University 8,University
José M. Vidal,Company 22,Company
Chunyan Miao,University 25,University
Qiong Wu 0001,University 8,University
Siyuan Liu,Company 10,Company
Ang Li 0004,University 17,University
Baobin Li,University 5,University
Changye Zhu,University 20,University
Tingshao Zhu,University 11,University
Guohua Liu,University 25,University
Yangyong Zhu,University 5,University
Yao Zhang 0009,Company 16,Company
Yazhen Ye,University 8,University
John-Jules Ch. Meyer,University 6,University
Karel van den Bosch,University 23,University
Maaike Harbers,University 5,University
Li Wang 0014,Company 10,Company
Lili Geng,Company 22,Company
Rui Wang,University 6,University
Xueli Yu,Company 28,Company
Yingjie Li 0002,University 24,University
Jiaxing Song,Company 12,Company
Lixin Zou,Company 21,Company
Weidong Liu 0001,Company 25,Company
Yuan Yao 0013,University 18,University
Yulong Gu,Company 28,Company
Asuka Sumida,Company 16,Company
Chitose Sao,University 30,University
Hiraku Morita,Company 29,Company
Kazuo Hara,University 5,University
Kentaro Inui,University 8,University
Koji Murakami,Company 12,Company
Megumi Eguchi,University 11,University
Shuya Abe,University 23,University
Suguru Matsuyoshi,University 14,University
Abdul-Wahid Mohammed,University 26,University
Brighter Agyemang,University 7,University
Ming Liu 0003,Company 18,Company
